,drift_type,strength,length,window,step,seed,tp_regular,fn_regular,fp_regular,delay_regular,tp_irregular,fn_irregular,fp_irregular,delay_irregular
248,3,0.25,"(0.1, 0.4)",720,24,3,1,0,5,12689.0,1,0,1,593.0
249,3,0.25,"(0.1, 0.4)",720,24,4,0,1,18,,0,1,33,
250,3,0.25,"(0.1, 0.4)",720,168,0,0,1,0,,1,0,0,6522.0
251,3,0.25,"(0.1, 0.4)",720,168,1,0,1,0,,1,0,0,9440.0
252,3,0.25,"(0.1, 0.4)",720,168,2,0,1,0,,1,0,0,8176.0
253,3,0.25,"(0.1, 0.4)",720,168,3,0,1,0,,1,0,0,6425.0
254,3,0.25,"(0.1, 0.4)",720,168,4,0,1,1,,0,1,4,
255,3,0.25,"(0.1, 0.4)",2160,24,0,1,0,7,19309.0,1,0,0,3306.0
256,3,0.25,"(0.1, 0.4)",2160,24,1,1,0,0,23815.0,1,0,0,10424.0
257,3,0.25,"(0.1, 0.4)",2160,24,2,1,0,0,23166.0,0,1,0,
258,3,0.25,"(0.1, 0.4)",2160,24,3,1,0,7,19241.0,1,0,0,3209.0
259,3,0.25,"(0.1, 0.4)",2160,24,4,1,0,15,4792.0,0,1,59,
260,3,0.25,"(0.1, 0.4)",2160,168,0,0,1,1,,1,0,0,3498.0
261,3,0.25,"(0.1, 0.4)",2160,168,1,0,1,0,,0,1,0,
262,3,0.25,"(0.1, 0.4)",2160,168,2,0,1,0,,0,1,0,
263,3,0.25,"(0.1, 0.4)",2160,168,3,0,1,1,,1,0,0,3401.0
264,3,0.25,"(0.1, 0.4)",2160,168,4,1,0,1,4960.0,0,1,8,
265,3,0.25,"(0.1, 0.4)",2160,720,0,0,1,0,,0,1,0,
266,3,0.25,"(0.1, 0.4)",2160,720,1,0,1,0,,0,1,0,
267,3,0.25,"(0.1, 0.4)",2160,720,2,0,1,0,,0,1,0,
268,3,0.25,"(0.1, 0.4)",2160,720,3,0,1,0,,0,1,0,
269,3,0.25,"(0.1, 0.4)",2160,720,4,0,1,0,,0,1,2,
270,3,0.5,"(0.1, 0.4)",168,24,0,1,0,0,13549.0,1,0,3,3618.0
271,3,0.5,"(0.1, 0.4)",168,24,1,1,0,0,10375.0,1,0,3,10040.0
272,3,0.5,"(0.1, 0.4)",168,24,2,1,0,0,4494.0,1,0,3,5248.0
273,3,0.5,"(0.1, 0.4)",168,24,3,1,0,0,13481.0,1,0,3,3521.0
274,3,0.5,"(0.1, 0.4)",168,24,4,1,0,0,10744.0,1,0,3,5457.0
275,3,0.5,"(0.1, 0.4)",720,24,0,0,1,5,,1,0,1,2634.0
